건축물명,건축물 위치,층수(지상_지하),조사년도,총발생량(톤),일평균발생량(톤/일),미사용_하수도방류(톤/일)
현대백화점(미아점),동소문로 315,11층/5층,2024,10064.0,55.3,55.3
홀리데이인 성북,종암로 123,10층/3층,2024,3215.0,17.66,17.66
용산토투밸리,새창로 217 6층 (한강로2가 2-37 ) 토투밸리빌딩관리,15/6,2024,1628.9,8.95,8.95
용산씨티파크2단지,서빙고로 31  (한강로3가),43/3,2024,857.2,4.71,4.71
이안용산프리미어,청파로 213 외31필지 (문배동 3-3 ) ,34/5,2024,2895.6,15.91,15.91
대우월드마크용산,한강대로 211  (한강로1가 64  ) ,37/6,2024,935.5,5.14,5.14
한국정보통신공사,한강대로 308  (갈월동 16  ),13/2,2024,1854.6,10.19,10.19
GS한강에클라트,"이촌로 1  (한강로3가, GS한강에클라트) ",26/6,2024,31693.5,174.14,149.14
한강메카트리움,"한강대로43길 8  (한강로2가 2-8 B4 기계실,주차블럭22,42,15) ",33/4,2024,6461.0,35.5,35.5
용산씨제이나인파크,백범로90다길 12  (문배동),28/3,2024,533.3,2.93,2.93
국립중앙박물관,서빙고로 137  (용산동6가),6/2,2024,11633.4,63.92,15.97
"㈜우리은행, 비씨카드㈜",을지로 170-1,20/8,2024,32396.0,178.0,128.0
올레오더블유,마장로1길 22,14/8,2024,0.0,0.0,0.0
KGIT센터관리단,월드컵북로 402 (상암동),21/5,2024,0.0,0.0,0.0
우일프라자,마장로 62,5/10,2024,127.4,0.7,0.7
을지로3가구역 6지구 도시정비형 재개발 신축공사,수표동 35-10,17/7,2024,1081.1,5.94,5.94
초동 업무시설 신축공사,초동 107-12,16/5,2024,5618.3,30.87,30.87
세운재정비촉진지구 6-3-3,을지로22길 11,20/8,2024,6157.1,33.83,33.83
쌍용타운나인트리호텔,초동 72-10,17/5,2024,2502.5,13.75,13.75
더솔라고세운,충무로2길 9,/,2024,8357.4,45.92,45.92
