"건축물명","건축물 위치","층수(지상_지하)","연면적","조사년도","총발생량(톤)","일평균발생량(톤/일)","일평균이용현황(톤/일)_하천방류","일평균이용현황(톤/일)_도로청소","일평균이용현황(톤/일)_공원용수","일평균이용현황(톤/일)_화장실세척","일평균이용현황(톤/일)_건물용수","미사용_하수도방류(톤/일)","일평균이용현황(톤/일)_기타건물용수"
"시그나타워","삼봉로 48","23/6","","2022","1373.00","7.46","","","","","","7.46",""
"트윈 트리","율곡로 6","17/8","","2022","352.99","1.92","","","","","","1.92",""
"원서동 교육연구시설","원서동 106-1","3/3","","2022","2241.00","12.18","","","","","","12.18",""
"강북삼성병원","새문안로 29","15/3","","2022","3106.00","16.88","","","","","","16.88",""
"서울대학교 의과대학장","대학로 103(연건동) ","6/2","","2022","45245.60","245.90","","","21.00","","","151.90",""
"포시즌스호텔","새문안로 97(당주동) ","18/7","","2022","8596.89","46.72","","","5.00","","","40.72",""
"서울대학교병원 의학연구혁신센터","대학로 71(연건동)","4/5","","2022","20939.20","113.80","","","","","","108.80",""
"대림산업(주)광화문D타워","청진동 249 ","23/8","","2022","3698.40","20.10","","","","","","20.10",""
"지에스건설","종로 33(청진동) ","24/7","","2022","30985.60","168.40","","","","","","111.40",""
"(주)한국투자사모종로플레이스","창경궁로 120(인의동)","14/7","","2022","16284.00","88.50","","","","","","52.50",""
"서울대병원(외래암센터)","대학로 101(연건동 ,서울대학교병원 ) ","6/4","","2022","699.20","3.80","","","","","","3.80",""
"소나무㈜","동호로38길 24(종로5가)","5/2","","2022","55.20","0.30","","","","","","0.30",""
"종로청계힐스테이트","숭인동길 21(숭인동)","18/?","","2022","15160.57","82.39","","","22.00","","","60.39",""
"(주)SERVEONE) (주)서브원","필운대로 80(옥인동) ","5/3","","2022","6495.20","35.30","","","11.00","","","24.30",""
"금융감독원","효자로 11(통의동) ","4/2","","2022","167.64","0.91","","","","","","0.91",""
"국립현대미술관","삼청로 30(소격동,서울관 ) ","3/3","","2022","14763.96","80.24","","","","","","80.24",""
"오피시아관리사무소","새문안로 92(신문로1가) ","24/8","","2022","73.60","0.40","","","","","","0.40",""
"정부중앙청사별관","사직로8길 60(도렴동) ","16/6","","2022","4632.20","25.18","","","","","","8.18",""
"흥국생명보험㈜","새문안로 68(신문로1가) ","19/3","","2022","8077.60","43.90","","","8.00","","","35.90",""
"종로타워","종로 51(종로2가) ","24/6","","2022","39884.04","216.76","","","","","","167.76",""
"SK 이노베이션(주)","종로 26(서린동, SK 이노베이션(주) 총무팀) ","35/7","","2022","65412.00","355.50","","","","","","355.50",""
"한이랑","대명1길 7(명륜4가 16-1) 옥산빌딩 ","4/2","","2022","3819.02","20.76","","","","","","20.76",""
"골든팰리스","통일로16길 4-1(무악동, 골든팰리스) ","8/4","","2022","8224.80","44.70","","","","","","31.70",""
"경희대 사회교육연구원(조인원)","율곡로 110(권농동)","5/3","","2022","63.38","0.34","","","","","","0.34",""
"SK자하문주유소(세차장)","자하문로 246(SK자하문주유소,부암동155-3) ","3/1","","2022","891.37","4.84","","","","","","4.84",""
"학고재","삼청로 48-4(소격동)","2/2","","2022","3225.11","17.53","","","","","","17.53",""
"(주)단성사","돈화문로 26(묘동) ","10/4","","2022","312.80","1.70","","","","","","1.70",""
"운현궁 SK허브 운영위원회","삼일대로 461(경운동) ","14/8","","2022","1104.00","6.00","","","","","","6.00",""
"(주)청하고려인삼","자하문로 280(부암동, 금박B/D) ","6/2","","2022","18209.85","98.97","","","","","","98.97",""
"(주)동승에이치엠씨","종로로 266(종로6가) ","3/","","2022","15382.40","83.60","","","","","","31.60",""
"(주)마스턴제이호위탁관리부동산㈜","새문안로5길 31(도렴동)","20/7","","2022","3398.89","18.47","","","","","","1.47",""
"The-K Twin Towers","종로1길 50(중학동) ","19/6","","2022","4019.37","21.84","","","","","","6.84",""
"서울대병원(외래암센터)","대학로 101(연건동 ,서울대학교병원 ) ","10/1","","2022","476.35","2.59","","","","","","0.59",""
"(주)메인개발(르미에르빌딩)","청진동 166 ","20/7","","2022","956.80","5.20","","","","","","0.20",""
"주얼리시티㈜","종로 183(인의동) ","19/5","","2022","182.98","0.99","","","","","","0.99",""
"한국광고문화회관","올림픽로35길 137","20/5","","2022","8869.00","49.00","","","","","","49.00",""
"링커병원","백제고분로 436","7/4","","2022","17014.00","94.00","","","","","","94.00",""
"대우유토피아오피스텔","올림픽로 336","21/5","","2022","2534.00","14.00","","","","","","14.00",""
"거여2차쌍용아파트","오금로 512","15/3","","2022","7240.00","40.00","","","","","","40.00",""
"IT벤처타워","중대로 135","18/6","","2022","30951.00","171.00","","","","","","171.00",""
"송파책박물관","송파대로 345(송파책박물관)","2/1","","2022","8688.00","48.00","","","","","","48.00",""
"헬리오시티상가","송파대로 345(헬리오시티 상가)","5/3","","2022","42535.00","235.00","","","","","","235.00",""
"송파레미니스2단지관리사무소","동남로 341","15~25/1","","2022","13.00","0.07","","","","","","0.07",""
"파라다이스빌잠실(최진일)","올림픽로 366(방이동 40)","15/4","","2022","543.00","3.00","","","","","","3.00",""
"서울아산병원(병원장)","올림픽로43길 88(풍납동 388-1)","18/4","","2022","122537.00","677.00","","","","","","477.00",""
"여의도순복음교회","마천로 17(방이동 209-1)","10/4","","2022","8326.00","46.00","","","","","","46.00",""
"한미사이언스(주)","위례성대로 14(방이동 45 ,한미타워 )","20/5","","2022","27693.00","153.00","","","","","","153.00",""
"BK타워","법원로11길 28 (문정동 640-10) 키움건설(주) / BK타워","13/5","","2022","905.00","5.00","","","","","","5.00",""
"힐스테이트에코 B동, 힐스테이트 에코 송파","정의로7길 13 (문정동 639-4, 10-3블럭) 힐스테이트에코 B동","12/5","","2022","7059.00","39.00","","","","","","39.00",""
"문정오벨리스크","송파대로 145 (문정동 652-2 ,문정지구8-2블록 ) (주)한화건설 / 문정오벨리스크","16/7","","2022","181.00","1.00","","","","","","1.00",""
"힐스테이트 에코 문정","법원로4길 10(문정동 652-4 ,현대건설(주)8-4블럭 ) 현대건설㈜/ 힐스테이트 에코 문정","15/6","","2022","724.00","4.00","","","","","","4.00",""
"씨제이나인파크 B동","석촌동 24-14, 씨제이나인파크 B동","22/5","","2022","7059.00","39.00","","","5.00","","","24.00",""
"씨제이나인파크 A동","석촌동 24-11, 씨제이나인파크 A동","22/5","","2022","181.00","1.00","","","","","","1.00",""
"잠실헤리츠상가 ","방이동 47 잠실헤리츠상가 ","16/4","","2022","1086.00","6.00","","","","","","6.00",""
"서진빌딩","삼학사로 42(석촌동 213-4) ","6/2","","2022","181.00","1.00","","","","","","1.00",""
"문정에스케이브이원지","법원로 128(문정동 642-3, 문정지구1-2) 문정에스케이브이원지","17/5","","2022","23349.00","129.00","","","","","","129.00",""
"(주)파크하비오, 파크하비오 오피스텔 관리사무소","송파대로 111(문정동 618)","19/4","","2022","1991.00","11.00","","","","","","11.00",""
"현대엔지니어링㈜(송파테라타워2)","송파대로 201(문정동 642 ,현대엔지니어링 1-1블럭 )","17/4","","2022","14661.00","81.00","","","","","","81.00",""
"체육시설관리사업소","올림픽로 25(잠실동 10)","3/1","","2022","7059.00","39.00","","","","","","39.00",""
"황학아크로타워","퇴계로 447","20/6","","2022","18.40","0.10","","","","","","0.10",""
"서울시체육시설관리사업소","올림픽로 25(잠실동 10 ,서울종합운동장 )","3/1","","2022","13575.00","75.00","","","","","","75.00",""
"갤러리아팰리스생활지원센타","올림픽로 212(잠실동 40)","46/5","","2022","5249.00","29.00","","","14.00","","","0.00",""
"잠실롯데","올림픽로 240(잠실동 40-1)","33/3","","2022","86337.00","477.00","","","","","","0.00",""
"잠실프로젝트금융투자(주)","올림픽로35가길 9(신천동 11-4)","39/4","","2022","8326.00","46.00","","","10.00","","","36.00",""
"롯데물산㈜, 잠실제2롯데월드","올림픽로 300(신천동 29)","123/6","","2022","34752.00","192.00","","","30.00","92.00","","0.00","석촌호수"
"삼성SRA부동산투자신탁제4호","올림픽로35가길 125(신천동 7-13)","30/7","","2022","724.00","4.00","","","","","","4.00",""
"(주)옵티멈","올림픽로35가길 16(신천동 7-12)","10/5","","2022","3620.00","20.00","","","","","","20.00",""
"타워730(현대사모부동산투자신탁제15호)","올림픽로35길 141(신천동 7-30), 송파대로 570","27/4","","2022","24073.00","133.00","","","30.00","","","78.00",""
"에이치비지니스파크(현대건설㈜)","법원로11길 25(문정동 645)","15/4","","2022","905.00","5.00","","","","","","5.00",""
"힐스테이트송파위례아파트","장지동 883 ,힐스테이트, 위례광장로 170","29/3","","2022","362.00","2.00","","","","","","2.00",""
"호반베르디움(김경렬)","동남로 342, (지하)","20/2","","2022","4706.00","26.00","","","","","","26.00",""
"잠실대명벨리온오피스텔","오금로11길 37(방이동 43) ","17/5","","2022","3982.00","22.00","","","","","","22.00",""
"동아일보사옥, 두산위브","성내천로 103(오금동 135) ","28/2","","2022","45250.00","250.00","","","","","","250.00",""
"위례중앙푸르지오2단지 아파트","위례광장로 290(장지동 896 ) ","19/3","","2022","13.99","0.08","","","","","","0.08",""
"위례아이파크2차 아파트 ","위례광장로 230(장지동 884, 위례지구C1-2블록 ,위례아이파크2차 아파트 ) ","29/3","","2022","1086.00","6.00","","","","","","6.00",""
"송파아이파크","법원로 55(문정동 624 ,송파 아이파크 )","16/4","","2022","1267.00","7.00","","","","","","7.00",""
"송파레미니스아파트","성내천로 6(오금동 616) 송파레미니스아파트","20/2","","2022","83.98","0.46","","","","","","0.46",""
"고려아카데미텔1","마포대로 196 (아현동) ","17/4","","2022","5108.00","27.76","","","","","","27.76",""
"삼성아파트2","만리재로 74 (신공덕동)","18/4","","2022","10143.00","55.13","","","","","","55.13",""
"신촌푸르지오2단지(북아현1-2)","북아현로1길 50(북아현동174)","/","","2022","1620.00","8.80","","","","","","8.80",""
"신촌자이엘라","신촌로 149(대현동104-36)","23/6","","2022","3754.00","20.40","","","","","","20.40",""
"명지대학교","거북골로 34(남가좌동 50-3)","/","","2022","22820.00","124.02","","","","","","124.02",""
"그랜드힐튼호텔","연희로 353(홍은동 201-1)","/","","2022","3809.00","20.70","","","","","","20.70",""
"서울여자간호대학","간호대로 38(홍제동 287-89)","/","","2022","8743.00","47.52","","","","","","47.52",""
"연세대학","신촌동 134 ,연세대","/","","2022","45162.00","245.45","","","","","","245.45",""
"연세의료원(바이오메디칼센타)","대신동 52","/","","2022","13322.00","72.40","","","","","","72.40",""
"현대백화점","신촌로 83(창천동 30-33)","12/6","","2022","232.00","1.26","","","","","","1.26",""
"이화여대(ECC관)","이화여대길 52(대현동 11-1 ,이화여대)","/","","2022","32486.00","176.55","","","","","","176.55",""
"김진성 ㈜버티고","연세로 8-1(창천동 18-58)","15/6","","2022","4160.00","22.61","","","","","","22.61",""
"연세의료원(오폐수처리장)","연세로 50(신촌동 134 ,연세의료원(오폐수처리장))","/","","2022","1719.00","9.34","","","","","","9.34",""
"동아일보사","충정로 29(충정로3가 139)","17/6","","2022","4337.00","23.57","","","","","","23.57",""
"백상빌딩","신촌로 231(북아현동221-7)","5/2","","2022","766.00","4.16","","","","","","4.16",""
"㈜중흥토건","진관동 76-40","1/4","","2022","191746.95","1042.10","","","","","","1042.10",""
"㈜호반건설","대조동 2-9","28/6","","2022","250.06","1.36","","","","","","1.36",""
"힐데스하임","진관3로 11(진관동 64)","16/3","","2022","2405.98","13.08","","","","","","13.08",""
"은평성모병원","통일로 1021","17/7","","2022","11164.94","60.68","","","","","","60.68",""
"SW메디컬빌딩","진관동 69","11/2","","2022","2875.92","15.63","","","","","","15.63",""
"은평뉴타운엘크루아파트","진관3로 21(진관동 65)","20/4","","2022","1577.98","8.58","","","","","","8.58",""
"은평솔하임관리사무소","진관동 59-18","20/5","","2022","9469.01","51.46","","","","","","51.46",""
"펌스개발쇼핑몰(NC백화점)","불광로 20(대조동 240)","16/8","","2022","246.93","1.34","","","","","","1.34",""
"알음종합건설","상계6동 95-182","6/3","","2022","3374.98","18.34","","","","","","18.34",""
"보미건설","상계6.7동 706-2","20/4","","2022","30439.98","165.43","","","","","","165.43",""
"코원건설","동일로174길 42","15/2","","2022","1800.07","9.78","","","","","","9.78",""
"중앙하이츠아쿠아아파트","공릉로 430(중계2.3동 514)","10/2","","2022","92.74","0.50","","","","","","0.50",""
"월계센트럴아이파크 아파트","초안산로2라길 26(월계2동 645-3)","17~30/2","","2022","30978.00","168.36","","","","","","168.36",""
"국민은행 노원종합금융센터","동일로1405(상계6,7동 731-5)","15/6","","2022","34824.94","189.27","","","","","","189.27",""
"태경빌딩","한글비석로271 (중계1동 359-20)","8/2","","2022","251.71","1.37","","","","","","1.37",""
"공릉 신도1차아파트","동일로191가길 59(공릉1동 748)","19/2","","2022","1236.48","6.72","","","","","","6.72",""
"공릉 삼익2차아파트","공릉로 34길 118(공릉2동 754)","7~18/2","","2022","4915.89","26.72","","","","","","26.72",""
"공릉 한보아파트","공릉로 46길 19(공릉2동 743)","12~20/2","","2022","10995.84","59.76","","","","","","59.76",""
"예수사랑교회","노원로6(공릉2동 112-4)","4/2","","2022","1907.71","10.37","","","","","","10.37",""
"염광아름빌 아파트","덕릉로79길 23 (중계4동 445)","15~26/2","","2022","317.95","1.73","","","","","","1.73",""
"노블씨티","한글비석로 276(중계본동 366-11)","9/4","","2022","370.94","2.02","","","","","","2.02",""
"동천재활체육센터","노원로 18길 41","0/3","","2022","1413.12","7.68","","","","","","7.68",""
"삼부프라자","한글비석로 242","8/4","","2022","165.60","0.90","","","","","","0.90",""
"대신빌딩","노원로 236","8/3","","2022","3378.24","18.36","","","","","","18.36",""
"양지대림2차 아파트","덕릉로 73길 28","25/3","","2022","184.00","1.00","","","","","","1.00",""
"건영백화점","섬밭로 258","8/4","","2022","830.21","4.51","","","","","","4.51",""
"상현교회","한글비석로 290","7/3","","2022","864.80","4.70","","","","","","4.70",""
"중계두타빌","중계동 360-9","7/4","","2022","1285.06","6.98","","","","","","6.98",""
"현대아파트","석계로 49","27/3","","2022","2031.36","11.04","","","","","","11.04",""
"고덕센트럴푸르지오아파트","고덕로 397","~36(4개동)/7","","2022","4472.86","24.31","","","","","","24.31",""
"고덕아르테온","고덕로 360","~34(41개동)/3","","2022","4890.72","26.58","","","","","","26.58",""
"도드람통합사옥","고덕동 98-7","15/5","","2022","154.93","0.84","","","","","","0.84",""
"에스메디칼㈜","고덕동 98-6","16/5","","2022","2534.97","13.78","","","","","","13.78",""
"KMH사옥","고덕동 38-12","10/6","","2022","19875.68","108.02","","","","","","108.02",""
"대한예수교장로회 은혜 광성교회","천중로18길 72","6/4","","2022","1.84","0.01","","","","","","0.01",""
"신라교역 신사옥","고덕비즈밸리로6길 30","20/5","","2022","23.00","0.13","","","","","","0.13",""
"고덕그라시움","고덕로 333","~35(53개동)/3","","2022","400.94","2.18","","","","","","2.18",""
"코리아신탁㈜","동남로75길 27","9~25(13개동)/3","","2022","17595.92","95.63","","","","","","95.63",""
"삼성엔지니어링㈜","상일로6길 26","15/4","","2022","58916.80","320.20","320.20","","","","","0.00","고덕천"
"현대백화점","천호대로 1005","14/7","","2022","12138.48","65.97","","","","","","65.97",""
"대우한강베네시티 ","올림픽로 664(천호동)","22/7","","2022","12020.72","65.33","","","","","","65.33",""
"한전(가락 전력구)","서울특별시 송파구 문정동 150-15","/","","2022","1245.68","6.77","","","","","","6.77",""
"위례포례18단지","거여동 648","15~22/2","","2022","6476.80","35.20","","","","","","35.20",""
"잠실제니알","방이동 39번지","16/2","","2022","5554.96","30.19","","","","","","30.19",""
"동우개발㈜, 엘루이시티","방이동 28-2","16/3","","2022","5694.80","30.95","","","","","","30.95",""
"한솔병원(이동0) 신관","백제고분로39길 14-20","7/4","","2022","770.96","4.19","","","","","","4.19",""
"㈜KCC건설, 농업협동조합","송파대로 155(문정동 651-8)","14/5","","2022","8449.28","45.92","","","","","","45.92",""
"청림실업㈜","백제고분로 266","8/4","","2022","121.44","0.66","","","","","","0.66",""
"유정빌딩(허재0)","백제고분로 503","6/3","","2022","64.40","0.35","","","","","","0.35",""
"은성산업㈜","올림픽로34길 5-13","19/4","","2022","79.12","0.43","","","","","","0.43",""
"파크웨이(유병0)","올림픽로34길 5-23","18/3","","2022","53.36","0.29","","","","","","0.29",""
"서울한방병원","법원로11길 32","13/3","","2022","2868.56","15.59","","","","","","15.59",""
"(주)수성엔지니어링","정의로8길 13","14/5","","2022","2533.68","13.77","","","","","","13.77",""
"위너스오피스텔","백제고분로 63","10/4","","2022","1525.36","8.29","","","","","","8.29",""
"한국광고문화회관","올림픽로35길 137","20/5","","2022","10534.00","57.25","","","","","","57.25",""
"링커병원","백제고분로 436","7/4","","2022","14813.84","80.51","","","","","","80.51",""
"대우유토피아오피스텔","올림픽로 336","21/5","","2022","2815.20","15.30","","","","","","15.30",""
"거여2차쌍용아파트","오금로 512","15/3","","2022","7643.36","41.54","","","","","","41.54",""
"아이티벤쳐타워","중대로 135","18/6","","2022","29454.72","160.08","","","","","","160.08",""
"송파책박물관","송파대로 345(송파책박물관)","2/1","","2022","10640.72","57.83","","","","","","57.83",""
"헬리오시티상가","송파대로 345(헬리오시티 상가)","5/3","","2022","47135.28","256.17","","","","","","256.17",""
"파라다이스빌잠실","올림픽로 366(방이동 40)","15/4","","2022","618.24","3.36","","","","","","3.36",""
"서울아산병원(병원장)","올림픽로43길 88(풍납동 388-1)","18/4","","2022","127059.36","690.54","","","","","","490.54",""
"여의도순복음교회","마천로 17(방이동 209-1)","10/4","","2022","7992.96","43.44","","","","","","43.44",""
"한미사이언스(주)","위례성대로 14(방이동 45 ,한미타워 )","20/5","","2022","13340.00","72.50","","","","","","72.50",""
"BK타워","법원로11길 28 (문정동 640-10) 키움건설(주) / BK타워","13/5","","2022","2296.32","12.48","","","","","","12.48",""
"힐스테이트에코 B동, 힐스테이트 에코 송파","정의로7길 13 (문정동 639-4, 10-3블럭) 힐스테이트에코 B동","12/5","","2022","10329.76","56.14","","","","","","56.14",""
"문정오벨리스크","송파대로 145 (문정동 652-2 ,문정지구8-2블록 )","16/7","","2022","691.84","3.76","","","","","","3.76",""
"힐스테이트 에코 문정","법원로4길 10(문정동 652-4 ,현대건설(주)8-4블럭 ) ","15/6","","2022","404.80","2.20","","","","","","2.20",""
"씨제이나인파크 B동","석촌동 24-14, 씨제이나인파크 B동","22/5","","2022","2855.68","15.52","","","5.00","","","0.52",""
"씨제이나인파크 A동","석촌동 24-11, 씨제이나인파크 A동","22/5","","2022","195.04","1.06","","","","","","1.06",""
"잠실헤리츠상가 ","방이동 47 잠실헤리츠상가 ","16/4","","2022","1227.28","6.67","","","","","","6.67",""
"서진빌딩(김원0)","삼학사로 42(석촌동 213-4) ","6/2","","2022","323.84","1.76","","","","","","1.76",""
"문정 SKV1GL","법원로 128(문정동 642-3, 문정지구1-2)","17/5","","2022","26372.72","143.33","","","","","","143.33",""
"송파레미니스아파트","성내천로 6(오금동 616)","20/2","","2022","1023.04","5.56","","","","","","5.56",""
"송파아이파크","법원로 55(문정동 624 ,송파 아이파크 )","16/4","","2022","1438.88","7.82","","","","","","7.82",""
"위례2차아이파크 아파트 ","위례광장로 230(장지동 884, 위례지구C1-2블록) ","29/3","","2022","2047.92","11.13","","","","","","11.13",""
"위례중앙푸르지오2단지 아파트","위례광장로 290(장지동 896 ) ","19/3","","2022","16.93","0.09","","","","","","0.09",""
"동아일보사옥, 두산위브","성내천로 103(오금동 135) ","28/2","","2022","23726.80","128.95","","","","","","128.95",""
"잠실대명벨리온오피스텔","오금로11길 37(방이동 43) ","17/5","","2022","3337.76","18.14","","","","","","18.14",""
"호반베르디움","동남로 342, (지하)","20/2","","2022","5290.00","28.75","","","","","","28.75",""
"힐스테이트송파위례아파트","장지동 883 ,힐스테이트, 위례광장로 170","29/3","","2022","4114.24","22.36","","","","","","22.36",""
"에이치비지니스파크(현대건설㈜)","법원로11길 25(문정동 645)","15/4","","2022","601.68","3.27","","","","","","3.27",""
"엔티산업주식회사 대표이사 지우종","자곡동 650","/","","2022","9134.99","49.65","","","","","","49.65",""
"주식회사 카네","논현로 156(도곡동 515-1)","7/3","","2022","4112.00","22.35","","","","","","22.35",""
"주식회사 파비스씨앤씨","논현로 172(도곡동 410-9)","7/3","","2022","3698.99","20.10","","","","","","20.10",""
"디엘이앤씨 주식회사","도곡동 946-11","/","","2022","6505.98","35.36","","","","","","35.36",""
"㈜코람코자산신탁","강남대로 374(역삼동 826)","20/4","","2022","2510.99","13.65","","","","","","13.65",""
"스톤엘리시온 역삼","논현로 337(역삼동 790-9)","11/4","","2022","89.99","0.49","","","","","","0.49",""
"현대엔지니어링","역삼동 653-4","20/5","","2022","6981.99","37.95","","","","","","37.95",""
"㈜삼일기업공사","테헤란로7길21(역삼동 635-1)","1/4","","2022","305.99","1.66","","","","","","1.66",""
"섬광의료재단","봉은사로 156(역삼동 605)","15/7","","2022","4337.98","23.58","","","","","","23.58",""
"새롬빌딩","선릉로 551(역삼동 683-34)","6/3","","2022","5641.00","30.66","","","","","","30.66",""
"케이비강남오피스제1호위탁관리부동산투자회사","테헤란로129(역삼동 648-9)","24/7","","2022","6171.99","33.54","","","","","","33.54",""
"래미안대치팰리스2단지","삼성로51길 35(대치동 1027)","35/3","","2022","28193.00","153.22","","","","","","153.22",""
"케이티에스테이트","테헤란로415(삼성동 142-42)","27/6","","2022","1751.00","9.52","","","","","","9.52",""
"삼성동센트럴아이파크","삼성로 629(삼성동 188)","3/31","","2022","9155.99","49.76","","","","","","49.76",""
"파르나스호텔㈜","봉은사로 524(삼성동 159)","29/6","","2022","10753.00","58.44","","","","","","58.44",""
"현대건설㈜","청담동 106-4","20/4","","2022","805.00","4.38","","","","","","4.38",""
"한동건설㈜","삼성로 762(청담동 49-21)","7/4","","2022","545.98","2.97","","","","","","2.97",""
"aone청담빌딩","도산대로55길 48(청담동 83-2)","5/3","","2022","1286.99","6.99","","","","","","6.99",""
"㈜성풍건설","청담동 77-4","/","","2022","191536.99","1040.96","","","","","","1040.96",""
"신세계인터네셔날","도산대로 449(청담동 97-5)","15/4","","2022","7396.98","40.20","","","","","","40.20",""
"㈜성풍건설","압구정동 479","/","","2022","66138.98","359.45","","","","","","359.45",""
"롯데건설㈜","언주로 720(논현동 106)","18/7","","2022","10032.99","54.53","","","","","","54.53",""
"㈜창성건설","논현동 6-2번지","9/5","","2022","38.99","0.21","","","","","","0.21",""
"다산건설엔지니어링㈜","논현로175길 101-4(신사동 525-12)","5/3","","2022","4862.00","26.42","","","","","","26.42",""
"역삼오피스빌딩 신축공사(CJ건설㈜)","역삼동 706-19번지","15/7","","2022","2999.99","16.30","","","","","","16.30",""
"자생한방병원 논현사옥 신축공사(㈜한화건설)","논현동 142-3번지","15/7","","2022","348.99","1.90","","","","","","1.90",""
"역삼 자이아파트","역삼동 711-1번지","31/3","","2022","449.99","2.45","","","","","","2.45",""
"업무시설 증축공사(현대건설㈜)","영동대로 512(삼성동 167)","0/5","","2022","22736.99","123.57","","","","","","123.57",""
"역삼 푸르지오시티","논현로85길 52(역삼동 735-17)","15/7","","2022","2493.00","13.55","","","","","","13.55",""
"삼성생명 일원동빌딩 신축공사(삼성중공업)","일원로 121(일원본동 717)","9/7","","2022","869.00","4.72","","","","","","4.72",""
"㈜태안모터스","논현로18길 9(개포동 1237)","6/3","","2022","437.99","2.38","","","","","","2.38",""
"(주)효성","광평로 281(수서동 715)","16/7","","2022","10619.98","57.72","","","","","","57.72",""
"(주)튼튼영어","논현로 164(도곡동 514-2)","10/3","","2022","309.98","1.68","","","","","","1.68",""
"(주)서브원GS타워","논현로 508(역삼동 679)","38/6","","2022","2591.99","14.09","","","","","","14.09",""
"(주)휴세코","테헤란로 117(역삼동 649-11)","19/7","","2022","1439.98","7.83","","","","","","7.83",""
"동일방직(주)","테헤란로 516(대치동 944-1 ,정헌빌딩 )","10/3","","2022","89.99","0.49","","","","","","0.49",""
"한국무역협회","영동대로 513(삼성동 159)","54/6","","2022","20611.99","112.02","","","","","","112.02",""
"(주)대윤기업","영동대로96길 34(삼성동 170 ,대윤빌딩 )","7/4","","2022","10.98","0.06","","","","","","0.06",""
"(주)신안관광-리베라호텔시설","영동대로 737(청담동 53-7)","15/5","","2022","7933.99","43.12","","","","","","43.12",""
"㈜LG패션","압구정로 230(신사동 617-3)","5/4","","2022","535.99","2.91","","","","","","2.91",""
"KT강북네트워크운영단","언주로 616(논현동 261-1)","10/3","","2022","486.00","2.64","","","","","","2.64",""
"광림교회","압구정로22길 21(신사동 570-8 ,광림교회 )","5/4","","2022","173.99","0.95","","","","","","0.95",""
"(주)효성 (마케팅팀)","서울특별시 강남구  광평로 281(수서동 715)","/","","2022","10620.00","57.72","","","","","","57.72",""
"삼성생명보험주식회사","서울특별시 강남구  일원로 121(일원동 717)","/","","2022","869.00","4.72","","","","","","4.72",""
"엔티산업주식회사 대표이사 지우종","   , (지하)( )","/","","2022","9135.00","49.65","","","","","","49.65",""
"(주)태안모터스","서울특별시 강남구  논현로18길 9(개포동 1237)","/","","2022","438.00","2.38","","","","","","2.38",""
"주식회사 카네","   , (지하)( )","/","","2022","4112.00","22.35","","","","","","22.35",""
"주식회사 파비스씨앤씨","   , (지하)( )","/","","2022","3698.40","20.10","","","","","","20.10",""
"(유)유니북스","서울특별시 강남구  논현로 164(도곡동 514-2)","/","","2022","294.40","1.60","","","","","","1.60",""
"디엘이앤씨 주식회사","   , (지하)( )","/","","2022","6506.00","35.36","","","","","","35.36",""
"아쎈다스코리아5호","서울특별시 강남구  테헤란로44길 8(역삼동 706-19)","/","","2022","3000.00","16.30","","","","","","16.30",""
"역삼자이상가대표회의","서울특별시 강남구  언주로 420(역삼동 711-1)","/","","2022","443.00","2.41","","","","","","2.41",""
"(주)코람코가치부가형부동산제2의1호위탁관리자부동산투자회사","   , (지하)( )","/","","2022","2511.00","13.65","","","","","","13.65",""
"현대엔지니어링","   , (지하)( )","/","","2022","6982.00","37.95","","","","","","37.95",""
"(주)삼일기업공사","서울특별시 강남구  테헤란로7길 21(역삼동 635-1)","/","","2022","306.00","1.66","","","","","","1.66",""
"성광의료재단","서울특별시 강남구  (역삼동 605)","/","","2022","4337.00","23.57","","","","","","23.57",""
"새롬빌딩","서울특별시 강남구  (역삼동 683-36)","/","","2022","5641.00","30.66","","","","","","30.66",""
"케이비강남오피스제1호위탁관리부동산투자회사","   , (지하)( )","/","","2022","6172.00","33.54","","","","","","33.54",""
"푸르지오시티 관리위원회","서울특별시 강남구  (역삼동 735-17)","/","","2022","2493.00","13.55","","","","","","13.55",""
"(주)에스앤아이코퍼레이션","서울특별시 강남구  논현로 508(역삼동 679)","/","","2022","2592.00","14.09","","","","","","14.09",""
"(주)휴세코","서울특별시 강남구  테헤란로 117(역삼동 649-11)","/","","2022","1440.00","7.83","","","","","","7.83",""
"케이티에스테이트","서울특별시 강남구  테헤란로 415(삼성동 142-42)","/","","2022","1751.00","9.52","","","","","","9.52",""
"삼성동센트럴아이파크","   , (지하)( )","/","","2022","9880.80","53.70","","","","","","53.70",""
"현대건설(주)","서울특별시 강남구  영동대로 512(삼성동 167)","/","","2022","22724.00","123.50","","","","","","123.50",""
"파르나스호텔(주)","서울특별시 강남구  봉은사로 524(삼성동 159)","/","","2022","10764.00","58.50","","","","","","58.50",""
"한국무역협회","서울특별시 강남구  영동대로 513(삼성동 159)","/","","2022","20612.00","112.02","","","","","","112.02",""
"현대건설(주)","   , (지하)( )","/","","2022","805.00","4.38","","","","","","4.38",""
"한동건설(주)","   , (지하)( )","/","","2022","546.00","2.97","","","","","","2.97",""
"이의환","   , (지하)( )","/","","2022","1287.00","6.99","","","","","","6.99",""
"(주)성풍건설","서울특별시 강남구  (청담동 77-4)","/","","2022","191537.00","1040.96","","","","","","1040.96",""
"신세계인터네셔날","   , (지하)( )","/","","2022","7397.00","40.20","","","","","","40.20",""
